id,ลำดับ,ประมาณการติดตั้ง Solar cell,KW_PK,ตรวจสอบสถานที่,ชื่อโรงเรียน,ที่อยู่,ชื่อตำบล,ชื่ออำเภอ,ชื่อจังหวัด,รหัสไปรษณีย์,จำนวนนักเรียน,ภาค,สังกัด,เขต,กฟภ,อัตรา,CA,Status,status_date,activity,activity_date,การติดต่อ 15%,การเจรจา 30%,ความสนใจ 30%,กำลังติดตั้ง 25%,Score 10คะแนน,การดำเนินงาน,E-mail,วันที่ดำเนินการ,ดำเนินการโดย,ชื่อผู้ประสานงานโรงเรียน,ตำแหน่ง,เบอร์ติดต่อผู้ประสานงาน,ชื่อผู้อำนวยการโรงเรียน,เบอร์ติดต่อ ผอ.,ค่าฟ้าเฉลี่ย/เดือน,สถานะดำเนินการของ กฟภ.,ผู้ลงทุน,กลุ่มขนาดติดตั้ง,ชื่อผู้ติดต่อสังกัดสถานศึกษา,เบอร์โทรองค์กรสังกัดสถานศึกษา,เลขที่,วันที่,เลขที่ ศธ,วันที่ตอบกลับ,เลขที่ใบปะหน้า,วันที่ใบปะหน้า,เลขที่หนังสือ,วันที่หนังสือ,เลขที่ ศธ ข้อเสนอ,วันที่ข้อเสนอ,Simulation,ข้อเสนอโครงการ,ข้อเสนอโครงการที่ออกจาก PEA,PEA,Focus,อาจารย์โจ้,check,Latitude,Longitude,chk,statusArr,activityArr,meterArr,รวมKW_PK,ความเข้าใจในโมเดล ESCO (10%),ระดับความร่วมมือของโรงเรียน (10%),การตัดสินใจและอำนาจภายใน (10%),ความพร้อมในการให้ข้อมูล (10%),การค้างค่าไฟฟ้า (10%),หมายเหตุของโรงเรียน,พื้นที่ติดตั้งที่มีอยู่ (10%),สภาพวัสดุมุงหลังคา (10%),สภาพโครงสร้าง (10%),จุดเชื่อมต่อและการเดินสายไฟ (10%),การเข้าถึงหน้างาน (10%),หมายเหตุของพื้นที่,รวมคะแนน,link หนังสือเชิญ,link หนังสือตอบรับข้อเสนอ,link ข้อเสนอโครงการ,
11,387,1080,1077.56,,โรงเรียนการบินกำแพงแสน,มิเตอร์ประธาน ม.6,กระตีบ,กำแพงแสน,นครปฐม,73180,ไม่พบ,กลาง,กองทัพอากาศ,,กฟก.3,4224,20003275551,,,,,,,,,,,,,,,,,,,1983421.02,#N/A,SJP,ใหญ่มาก,,,,,,,,,,,,,,,,,,,,14.0984994,99.9272593,File original,,,,,,,,,,,,,,,,,,,,,
12,560,1030,1058.4,,โรงเรียนธรรมศาสตร์คลองหลวงวิทยาคม,69 พหลโยธิน,คลองหนึ่ง,คลองหลวง,ปทุมธานี,12120,5125,กลาง,สพม.ปทุมธานี,,กฟก.1,4224,20001087042,ส่งข้อเสนอโครงการและร่างสัญญา,,นัดหมายเพื่อนำเสนอโครงการ+สำรวจ,,8,8,8,10,8.5,"รอนัด ผอ./
08/08/2025- เซ็นสัญญากับการไฟฟ้าฝ่ายผลิตไปแล้ว รอติดตั้ง",,17-21 Mar,ออมสิน,นายจักนรินทร์ สีนวล,หัวหน้างานสาธารณูปโภค,065-9194784,นายเจริญ บัวลี,,,,I2,,,,797,2024-02-28,๐๔๓๑๔.๑๑/๑๔๓,2024-02-02,๕๓๐๓.๑๐/๕๒๔๑๔,2024-08-26,,,,,Nop,Nop,45531,1,,พี่ป้อม,ไม่ซ้ำ,,,"File Phat,add","[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-02-02""},{""status"":""กฟภ. ส่งข้อเสนอโครงการ+ร่างสัญญา"",""date"":""2024-08-26""},{""status"":""นำเสนอข้อเสนอโครงการ"",""date"":""2024-08-27""},{""status"":""ยกเลิก ทำกับเจ้าอื่น"",""date"":""2025-08-08""}]","[{""activity"":""นัดหมาย+ส่งหนังสือขอชี้แจง+สำรวจ"",""date"":""""},{""activity"":""ติดตามสถานะโรงเรียนพิจารณาข้อเสนอ"",""date"":""2024-08-27""},{""activity"":""ยกเลิกไม่ทำโครงการ"",""date"":""2025-08-08""}]","[{""ca"":""20001087042"",""kw_pk"":""1058.4"",""rate"":""4224""}]",1058.4,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/EZskpfreTthChby4NblowhYBuVvDdKgLtcuwhU0wjNY0Xg?e=Q7ruN9,,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_moevedigital_com/Em-UhgwnjPRNn0jZwYZzHRMBDHIWS8ybwibJ1FX298ravA?e=7WuVPm,
13,570,190,183.82,YES,โรงเรียนประถมศึกษาธรรมศาสตร์,111 หมู่ 18,คลองหนึ่ง,คลองหลวง,ปทุมธานี,12120,1896,กลาง,สพป.ปทุมธานี,1,กฟก.1,4224,20016329290,รอเซ็นต์สัญญา,,นัดหมายเซ็นต์สัญญา,,9,9,10,3,7.8,,,19-23 May,ออมสิน,นายจงรัก สัมฤทธิ์,ครู,088-7287343,นายทินกร คุ้มวงษ์,,"156,281.99",,I2,,,,796,2024-02-28,๐๔๐๘๖.๐๓๙/๘๗,2024-01-08,๕๓๐๓.๑๐/๕๒๗๐๗,2024-08-27,4560,2024-09-17,๐๔๐๘๖.๐๓๙/๖๗๕,2024-09-11,Nop,Nop,45532,1,,พี่ป้อม,ไม่ซ้ำ,14.077272, 100.599305,"File Phat,add","[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-01-08""},{""status"":""กฟภ. ส่งข้อเสนอโครงการ+ร่างสัญญา"",""date"":""2024-08-27""},{""status"":""นำเสนอข้อเสนอโครงการ"",""date"":""2024-08-28""},{""status"":""ตอบรับร่างสัญญาโครงการ"",""date"":""2024-09-11""},{""status"":""ชี้แจงโครงการ+สำรวจ"",""date"":""2025-06-30""}]","[{""activity"":""ส่งหนังสือเชิญ-ไปรษณีย์"",""date"":""""},{""activity"":""ติดตามสถานะโรงเรียนพิจารณาข้อเสนอ"",""date"":""2024-08-28""},{""activity"":""ติดตามตามเอกสารรอเซ็นต์สัญญา"",""date"":""2024-09-11""},{""activity"":""ประเมินโครงการ+เตรียมทำข้อเสนอ"",""date"":""2025-07-02""}]","[{""ca"":""20016329290"",""kw_pk"":""120.96"",""rate"":""4224""}]",120.96,4,4,4,4,5,,2,2,2,2,2,,62,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/Eeppj3U-ObpKjb32CFczZc0BZS13lFa8tXBTM_gWQbmEtQ?e=nUX9gm,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_moevedigital_com/EllWrSgXPXJHpw-ZpUaMXZ8Bm_jWvcR6BMKe1BjPTDLOGw?e=zW2ko6,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_alphaiall_com/Eg0DCsBbpCdOkT8RKDfs6J0BtFijB8nGqBl51cstjgrmUw?e=36m8sC,
14,585,660,655.25,,โรงเรียนสามโคก,1/1 หมู่ 3,บ้านงิ้ว,สามโคก,ปทุมธานี,12160,ไม่พบ,กลาง,อบจ.,,กฟก.1,4224,20000959869,สนใจ,,ส่งหนังสือเชิญแล้ว-ไปรษณีย์,,7,7,7,10,7.8,ส่งหนังสือเชิญ เรียนถึงผู้อำนวยการ,,17-21 Mar,,,,,,081-193-8726 หรือ 029798534,,#N/A,#N/A,ใหญ่มาก,พลตำรวจโท คำรณวิทย์ ธูปกระจ่าง,0-2975-8940-8,,,,,,,,,,,,,,1,M000119,,ไม่ซ้ำ,14.0852689,100.5351409,File Phat,,,,,,,,,,,,,,,,,,,,,
15,598,600,594.31,,โรงเรียนนายสิบทหารบก,เลขที่ 8 ค่ายโยธินศึกษามหามงกุฎ ถนนเพชรเกษม,หนองแก,หัวหิน,ประจวบคีรีขันธ์,77110,ไม่พบ,ตะวันตก,กองทัพบก,,กฟต.1,4224,20018619009,ไม่สนใจ-มีเจ้าอื่นเข้าแล้ว,,ไม่เข้าร่วมโครงการ,,,,,,#VALUE!,,,,หมิง,,,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,1,,,ไม่ซ้ำ,12.4936062,99.9656661,File Phat,,,,,,,,,,,,,,,,,,,,,
16,607,370,369.33,,โรงเรียนเตรียมพุทธศาสตร์,142,บ้านนา,กบินทร์บุรี,ปราจีนบุรี,25110,ไม่พบ,ตะวันออก,พศ.,,กฟก.1,4224,20000900675,ติดต่อใหม่-เบอร์ติดต่อไม่ได้,,,,,,,,#VALUE!,,,,หมิง,,,089-1606672,,,,#N/A,#N/A,กลางใหญ่,,,,,,,,,,,,,,,,1,M000147,,ไม่ซ้ำ,14.0020063,101.9139628,File Phat,,,,,,,,,,,,,,,,,,,,,
17,716,150,144.01,,โรงเรียนผดุงนารี,,ตลาด,เมืองมหาสารคาม,มหาสารคาม,44000,3688,ตะวันออกเฉียงเหนือ,สพม.มหาสารคาม,,กฟฉ.2,4224,20011862015,,,,,,,,,,,,,,นางสุรางค์ ซ้ายสนาม,ครู,086-8583683,นายพีรนนท์ เหล่าสมบัติ,,127353.9,,i2,กลางเล็ก,,,3340,2024-07-08,๐๔๓๒๗.๐๑๐๒/๕๑๓,2024-07-03,,,,,,,,,,,,,,16.1826731,103.3024622,File original,"[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-07-03""}]","[{""activity"":""ส่งหนังสือเชิญแล้ว"",""date"":""""},{""activity"":""ตอบรับส่งทางไปรษณีย์"",""date"":""""}]","[{""ca"":""20011862015"",""kw_pk"":""144.01"",""rate"":""4224""}]",144.01,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/EQQ6YtIpbKBApHP07KHyAgMBa1IrttA_0aal_t-bIgX5Bw?e=rXTd0Q,,,
18,718,270,260.36,,โรงเรียนวาปีปทุม,,หนองแสง,วาปีปทุม,มหาสารคาม,44120,3062,ตะวันออกเฉียงเหนือ,สพม.มหาสารคาม,,กฟฉ.2,4224,20011278167,ติดต่อใหม่-ไม่มีคนรับสาย,,,,,,,,#VALUE!,wpt@wpt.ac.th,wpt@wpt.ac.th,,หมิง,,,043-799372,,,,#N/A,#N/A,,,,,,,,,,,,,,Pla,,,1,,,ไม่ซ้ำ,15.8496034,103.376574,File Phat,,,,,,,,,,,,,,,,,,,,,
19,766,850,841.33,,โรงเรียนมัธยมตากสินระยอง,,ตะพง,เมืองระยอง,ระยอง,21000,ไม่พบ,ตะวันออก,อบจ.,,กฟก.2,4224,20001832539,ติดต่อใหม่-เบอร์ติดต่อไม่ได้,,,,,,,,#VALUE!,realadmtrs@gmail.com,realadmtrs@gmail.com,,หมิง,,,038-622-048,,038-672-314,,#N/A,#N/A,ใหญ่มาก,นายสุรินทร์ แสงทอง,0-3861-7430,,,,,,,,,,,,,,1,M000102,,ไม่ซ้ำ,12.69131,101.282812,File Phat,,,,,,,,,,,,,,,,,,,,,
20,817,1080,1077,,โรงเรียนสงครามพิเศษ ศูนย์สงครามพิเศษ,ถ.พหลโยธิน,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,15000,ไม่พบ,กลาง,กองทัพบก,,กฟน.3,4224,20007055496,,,,,,,,,,,,,,,,,,,772787.46,#N/A,SJP,ใหญ่มาก,,,,,,,,,,,,,,,,,,,,14.8098469,100.6895665,File original,,,,,,,,,,,,,,,,,,,,,
21,828,800,797,,โรงเรียนบุญวาทย์วิทยาลัย,230 ถ.พหลโยธิน,หัวเวียง,เมืองลำปาง,ลำปาง,52000,3866,เหนือ,สพม.ลำปาง ลำพูน,,กฟน.1,4224,20005089844,,,,,,,,,,,,,,,,,,,628352.02,,i2,ใหญ่มาก,,,,,,,,,,,,,,,,,,,,18.2865287,99.5026297,File original,,,"[{""ca"":""20005089844"",""kw_pk"":""868.77"",""rate"":""4224""}]",868.77,,,,,,,,,,,,,0,,,,
22,967,530,522.67,,โรงเรียนแก่งคอย,,แก่งคอย,แก่งคอย,สระบุรี,18110,2734,กลาง,สพม.สระบุรี,,กฟก.1,4224,20000787166,สนใจ,,ส่งหนังสือเชิญแล้ว-ไปรษณีย์,,7,7,7,10,7.8,ส่งหนังสือเชิญไปยังโรงเรียน,,17-21 Mar,,,,,,036-244-033,,#N/A,#N/A,ใหญ่,นายอดุลย์ ภูปลื้ม,036-340783,,,,,,,,,,,Pla,,,1,M000157,,ไม่ซ้ำ,14.5891694,100.9955424,File Phat,,,,,,,,,,,,,,,,,,,,,
23,9,480,412.02,YES,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา,170 ถนนรัชดาภิเษก,ห้วยขวาง,เขตห้วยขวาง,กรุงเทพมหานคร,10310,2749,กลาง,สพม.กรุงเทพมหานคร,2,กฟภ.,3235,,ส่งข้อเสนอโครงการและร่างสัญญา,,นัดหมายเพื่อนำเสนอโครงการ+สำรวจ,,8,8,8,10,8.5,นัด พฤที่ 20 เวลา10.00น./อ.ศุภกฤษณ์กับรองผอ.พิมพ์ให้ความสนใจอยากติดตั้ง มีแผนจะเพิ่มห้องแอร์ ผอ.ค่อนข้างสนใจ แต่ขอดูร่างสัญญาก่อน สนใจสัญญาอัยการ(ยังไม่ได้ค่าไฟ),,10-14 Mar,ออมสิิน,นายศุภกฤษณ์ จันทร์เทาวน์,ครู,087-3401869,นางสาวกรรณิกา ไผทฉันท์,,,,I2,,ดร.นภาพร พงษ์ขัน,02-930-4490-92,873,2024-03-01,๐๔๒๙๑.๐๙/๒๓๗,2024-02-27,๕๓๐๓.๑๐/๕๖๗๒๐,2024-09-20,,,,,Pla,Nop,45580,,M000296,อาจารย์โจ้,ไม่ซ้ำ,,,"File Phat,add","[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-02-27""},{""status"":""กฟภ. ส่งข้อเสนอโครงการ+ร่างสัญญา"",""date"":""2024-09-20""},{""status"":""นำเสนอข้อเสนอโครงการ"",""date"":""2024-10-30""},{""status"":""ชี้แจงโครงการ+สำรวจ"",""date"":""2025-06-30""}]","[{""activity"":""ส่งหนังสือเชิญ-ไปรษณีย์"",""date"":""""},{""activity"":""ติดตามสถานะโรงเรียนพิจารณาข้อเสนอ"",""date"":""2024-10-30""},{""activity"":""นัดหมาย+ส่งหนังสือขอชี้แจง+สำรวจ"",""date"":""2025-06-30""},{""activity"":""ประเมินโครงการ+เตรียมทำข้อเสนอ"",""date"":""2025-07-15""}]",,412.02,4,5,3,3,5,,5,5,5,3,3,,82,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/Eej6CagsM3JFgHo8mWXazyIBbhwVgoCaWi3WJIh80KKFzA?e=TnrWYH,,https://moevethailand-my.sharepoint.com/:f:/g/personal/sarayut_s_moevedigital_com/Eo9P5YRmh1ZOrD3PsZ7cdQUBZaMR05lw573NqnHljodUxA?e=W4Z6F0,
24,16,301,201.6,YES,โรงเรียนเทพลีลา,281 รามคำแหง,หัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,10240,1897,กลาง,สพม.กรุงเทพมหานคร,2,กฟภ.,3235,,ตอบรับหนังสือเชิญ,,,,8,8,8,6,7.5,ผอ.นัดให้เข้าไปคุยรายละเอียดอีกที 5/2/25 มีเจ้าอื่นเข้าไปแล้ว 3เจ้า,,19-23 May,,นายรังสรรค์ นกสกุล,ผู้อำนวยการสถานศึกษา,081-8159319,นายรังสรรค์ นกสกุล,,,,,,ดร.นภาพร พงษ์ขัน,02-930-4490-92,794,2024-02-28,๐๔๒๙๑.๑๐/๑๕๗,2024-02-20,,,,,,,Pla,Nop,,,M000247,อาจารย์โจ้,ไม่ซ้ำ,,,File Phat,"[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-02-20""},{""status"":""ชี้แจงโครงการ+สำรวจ"",""date"":""2025-02-05""}]","[{""activity"":""ส่งหนังสือเชิญ-ไปรษณีย์"",""date"":""""},{""activity"":""นัดหมาย+ส่งหนังสือขอชี้แจง+สำรวจ"",""date"":""2025-02-05""}]",,201.6,2,3,2,2,,ผอ.รังสรรค์ คุยทางโทรศัพท์ดีแต่อาจารย์ไม่ค่อยให้ความร่วมมือ แจ้งว่ามี กฟน. และเอกชนเข้ามา แต่ยังไม่ได้สรุปทำเพราะมาแล้วก็เงียบหาย,,,,,,,18,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/ER9ltXBf3QBLr-khQLOC7LkBqX16FLTg0ehtB9pUbsj48w?e=XAYlVs,,,
25,28,492,210.42,NO,โรงเรียนบางกะปิ,69 เสรีไทย,คลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,10240,3136,กลาง,สพม.กรุงเทพมหานคร,2,กฟภ.,3235,,ตอบรับหนังสือเชิญ,,,,7,7,7,10,7.8,ติดต่อใหม่ เปลี่ยน ผอ.,,45742,ภัทร,,,"02-3775870 , 02-7324409",ดร.วินัย คำวิเศษ,,"444,922",,,,ดร.นภาพร พงษ์ขัน,02-930-4490-92,793,2024-02-28,๐๔๒๙๑.๒๑/๒๑๙,2025-02-20,๕๓๐๓.๑๐/๕๖๒๑๖,2024-09-25,,,,,Pla,Nop,,,M000245,อาจารย์โจ้,ไม่ซ้ำ,13.769884,100.652074,File Phat,"[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-02-20""}]","[{""activity"":""ส่งหนังสือเชิญ-ไปรษณีย์"",""date"":""""}]","[{""ca"":""62047389"",""kw_pk"":""201.6"",""rate"":""3235""},{""ca"":""62040444"",""kw_pk"":""139.86"",""rate"":""3235""},{""ca"":""62015237"",""kw_pk"":""120.96"",""rate"":""3235""}]",462.42,,,,,,,,,,,,,0,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/ETTl9G1gr5tGtIVAjAY1rOgBXKZg1trl_LMye-7tF13M5A?e=uaWiQo,,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/ETDB_CD2EO5KrtRiwKButu4BJ3o0GL06Q0xzox7qoOZUXQ?e=RL5X3V,
26,53,241,215.46,YES,โรงเรียนราชดำริ,163 เฉลิมพระเกียรติ ร.๙ ซอย 28 แยก 3-1,ดอกไม้,เขตประเวศ,กรุงเทพมหานคร,10250,2251,กลาง,สพม.กรุงเทพมหานคร,2,กฟภ.,3235,,ตอบรับหนังสือเชิญ,,,,7,7,7,4.5,6.4,รองผอ.กรองกาญจน์ย้าย ติดต่อคนใหม่,,19-23 May,,นางสาวกรองกาญจน์ ระวังภัย(ย้ายแล้ว),รองผู้อำนวยการสถานศึกษา,093-6464478,นางสาวศิริกุล เก่าราชการ,,,,,,ดร.นภาพร พงษ์ขัน,02-930-4490-92,809,2024-02-28,๐๔๒๙๑.๓๒/๑๖๔,2024-02-12,,,,,,,Pla,Nop,,,M000259,อาจารย์โจ้,ไม่ซ้ำ,,,File Phat,"[{""status"":""สนใจนำเสนอโครงการ"",""date"":""""},{""status"":""ตอบรับเข้าร่วมโครงการ"",""date"":""2024-02-12""},{""status"":""ชี้แจงโครงการ+สำรวจ"",""date"":""2025-05-10""}]","[{""activity"":""ส่งหนังสือเชิญ-ไปรษณีย์"",""date"":""2025-03-14""},{""activity"":""นัดหมาย+ส่งหนังสือขอชี้แจง+สำรวจ"",""date"":""2025-05-10""}]",,215.46,5,4,4,3,5,อ.ณรงค์ฤทธิ์ดูแลอาคารไฟฟ้า ที่นี่มีปัญหาไฟตกบ่อยๆ สนใจอยากติดมาก ผอ.ดูค่อนข้างกังวลกับสัญญาระยะยาว ขอพิจารณาข้อเสนอโครงการอีกที (ยังไม่ได้ค่าไฟ),4,4,4,3,5,,82,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/ERDTlDLXAXBCuDbocisWiTIB8omAhcTqVzTAXkWN2bhjkQ?e=hagT23,,https://moevethailand-my.sharepoint.com/:b:/g/personal/sarayut_s_moevedigital_com/ETfajbHytnNMjqJ7B2tBidYBPs6auj5ppy9AaL0h1j_c1w?e=uzCJxr,
